растирать	несов.\nсм. растереть.
пересинивать	несов.\nсм. пересинить.
удерживаться	несов.\n1. см. удержаться;\n2. страд. к удерживать.
тупить	несов. что\nмокотуу;\nтупить нож бычакты мокотуу.
изжёванный,	­ая, -ое\n1. прич. от изжевать;\n2. прил. разг. (смятый) бырышкан, уйпаланган;\nизжёванное платье бырышкан көйнөк, уйпаланган көйнөк.
опоясывать	несов.\nсм. опоясать.
возобновляться	несов.\n1. см. возобновиться;\n2. страд. к возобновлять.
титановый,	­ая, -ое\nтитан II-ге т.; титандык;\nтитановые белила титандык боёк (сууда эрибей турган минералдык ак боёк).
окрашивание	ср.\nбоёо, сырдоо.
бастион	м. воен. уст.\nбастион (беш бурчтуу формадагы крепость же сепил).
скафандр	скафандр (1. мор. суучулдун кийими; 2. ав. стратосферага учуучу учкучтун кийими).
маринад	м.\n1. маринад (ачык сууга салып даярдаган татымал);\nсельдь в маринаде маринадга салынган сельдь;\n2. маринад (маринадга салынган продукт).
агентура	ж.\n1. (занятие, должность агента) агентура (агенттин иши, кызматы);\n2. собир. агентура (буржуазиялык өкмөттөрдүн шпиондору, диверсанттары, тыңчылары);\nвражеская агентура душмандык агентура.
гипсовать	несов. что, мед., с.-х.\nгипстөө, гипс салуу.
собеседница	женск. р. к собеседник.
вымыться	сов.\nжуунуу.
благоговение	ср.\nкастарлоо, урматтоо, ардактоо.
шут	м.\n1. ист. маскарапоз;\nпридворный шут падышанын сарайындагы маскарапоз;\n2. перен. күлдүргүч, куудул;\nразыгрывать шута күлдүрүү;\nшут гороховый разг. элдин шылдыңына калган киши;\nшут его знает! разг. аны ким билет!, аны ким билсин!
классик	м.\n1. классик (жалпыга таанылган үлгүлүү жазуучу, художник, архитектор ж.б.; эмгектеринин мааниси нечен кылымдар бою сактала турган илимдин, адабияттын, искусствонун, философиянын ж.б. эң зор ишмерлери);\nклассики мировой литературы дүйнөлүк адабияттын классиктери;\nизучать классиков марксизма-ленинизма марксизм-ленинизм классиктерин үйрөнуү;\n2. ист. (сторонник классицизма) классик (искусстводо классицизмдин тарабындагы киши);\n3. классик (байыркы грек, латин тили жана адабияты боюнча специалист).
рупор	м.\n1. рупор (үндү күчөтүү үчүн жасалган башы кең сурнай);\nговорить в рупор рупор менен сүйлөө;\n2. перен. рупор, жарыячы, жарчы (бирөөлөрдүн идеясын, оюн, пикирин таратуучу).
модернизация	ж.\nмодернизация, модернизациялоо (бир нерсеге азыркы замандын талабына, шыгына жараша жаңы түр, ушул күнкү кебетени берүү).
циклон	м.\n1. метеор. циклон (катуу куюндуу, кара нөшөрлүү, аябаган чоң атмосфералык алай-дүлөй);\n2. разг. (буря, ураган) алай-дүлөй, катуу бороон, чоң добул.
реорганизация	ж.\nреорганизация; реорганизация кылуу, кайрадан уюштуруу, кайрадан (кайтадан) түзүү.
отшибить	сов. что, разг.\n1. (отбить) уруп сындыруу;\n2. (ушибить) уруп оорутуп алуу;\n3. (отбросить ударом) кайта кагуу, кайта уруу;\nу меня память отшибло мен унутчаак болуп калдым.
отгадчица	женск. р. к отгадчик.
худеть	несов.\nарыктоо, жүдөө;\nон худеет с каждым днём ал күндөн күнгө арыктап баратат.
неточность	ж.\nтак эместик, туура эместик, каталык, катасы бардык;\nв работе имеются неточности жумушта так эместиктер бар.
промышлять	несов. чем, кого-что\nкандайдыр бир промысел менен иришүү (мис. аңчылык).
спорность	ж.\nталаштык;\nспорность решения чечимдин талаштыгы.
накрасть	сов. что, чего\nуурдоо, уурдап алуу.
выпячивать	несов.\nсм. выпятить.
частновладельческий,	­ая, -ое\nжеке кишинин менчигиндеги, жеке менчиктүү;\nчастновладельческий капитал жеке менчиктүү капитал.
назябнуться	сов. разг.\nүшүп кетүү, тоңуп кетүү, үшүп калуу.
посмешить	сов. кого\nкүлдүрүү, күлкүсүн келтирүү.
гидролитический,	­ая, -ое\nгидролиз-ге т.
сажа	ж.\nкөө, ыш;\nвесь в саже бүт көө болгон;\nкак дела? - Дела - как сажа бела иш кандай?- Иш куржун (көмүрдөй ак).
нежелательность	ж.\nкөңүлгө туура эместик, ылайыксыздык.
бесполезность	ж.\nпайдасыздык, пайдасы жоктук, натыйжасыздык.
покладая:	работать не покладая рук жан аябастан иштөө, тынбастан иштөө.
бурьян	м.\nузун чыгуучу отоо чөп.
непоседа	м. и ж. разг.\nтурумсуз, отурбас, көчүгү жерге тийбес, тынчы жок (мис. бала).
вицмундир	м. уст.\nвицмундир (граждандык кызматтагы чиновниктердин форма кийими).
тюремщик	м. уст.\nтүрмө сакчысы.
приотвориться	сов.\nбир аз ачылуу, кичине ачылуу;\nдверь приотворилась эшик бир аз ачылды.
улавливание	ср. тех.\nкармоо.
одряхлеть	сов.\nкаруу, картаюу, чөгүп калуу.
вой	м.\n1. (животных) улуу;\n2. (протяжный плач, вопли) чуу;\nдети подняли вой балдар чуулдап ый көтөрүштү;\n3. перен. улуу, чуу;\nвой ветра шамалдын улушу.
перемочь	сов.\nсм. перемогать.
взрыхлить	сов. что\nжумшартуу, борпоңдотуу, копшутуу;\nвзрыхлить почву топуракты жумшартуу.
ряжу	ряжу I, рядишь\nи т.д. наст. вр. от рядить I.\nряжу II, рядишь\nи т.д. наст. вр. от рядить II.
ликбез	м.\n(ликвидация безграмотности) ликбез (сабатсыздыкты жоюу).
неведомый,	­ая, -ое\n1. (неизвестный) белгисиз, тааныш эмес;\nневедомые люди белгисиз кишилер;\n2. перен. (таинственный) кереметтүү, сырдуу;\nневедомая сила сырдуу күч.
крах	м.\nиш оңунан чыкпай калуу, сынуу, кулоо.
агрессия	ж.\nагрессия (бирже бир нече мамлекеттердин башка өлкөлөргө алардын территорияларынтартып алуу жана элдерин эксплуатация кылуу максатын көздөп, бир мамлекетти экинчи бир мамлекетке экономикалык же саясий жактан багынтуу максатын көздөп кол салуусу).
просеиваться	несов.\n1. см. просеяться;\n2. страд. к просеивать.
переждать	сов. что\nкүтө туруу, күтүп туруу;\nпереждать дождь жаан басылганча күтүп туруу.
перевьючивать	несов.\nсм. перевьючить.
мерсеризация	ж. текст.\nмерсеризация, мерсеризациялоо (кездемени жылтыратуу үчүн щёлочь менен иштетүү).
разыскание	ср.\n1. (поиски) издөө, издеп табуу;\nпринять меры к разысканию преступника күнөөкөрдү издеп табууга чара көрүү;\n2. разыскания мн. (исследования) изилдөөлөр.
плотничий,	­ья, -ье\nплотник-ке т.;\nплотничьи инструменты жыгач устасынын шаймандары.
арендатор	м.\nарендатор (арендага, ижарага алуучу адам).
набить	сов.\n1. что чем (наполнить) шыкоо, шыкап толтуруу;\nнабить чучело чучело жасоо;\nнабить трубку трубканы шыкап толтуруу;\nбитком набить жык толуу;\n2. что (насадить, надеть) кийгизүү; каптоо;\nнабить обручи на бочку бочкага алкак кийгизүү;\n3. что, текст. (отпечатать узор) гүл түшүрүү, түр салуу (кездемеге);\n4. что, разг.: набить шишку томуйта коюу;\n5. что, чего (вколотить) кагуу, уруп киргизүү (мис. мык менен);\n6. что, кого-чего (настрелять) атып алуу;\nохотник набил много дичи аңчы толуп жаткан илбээсинди атып алды;\nнабить цену бааны көтөрүү;\nнабить карман чөнтөктү толтуруу;\nнабить оскомину\n1) тиш каматып алуу;\n2) перен. абдан жадатуу, көкөйгө тийүү;\nнабить морду груб. тумшугун талкалоо;\nнабить себе руку на чём-л. бир нерсеге колду маш кылуу, колду үйрөтүү, машыгуу.
казачество	ср. собир.\nказак орустар.
слушать	несов.\n1. кого-что (воспринимать слухом) угуу, тыңшоо;\nслушать концерт концерт угуу;\nслушать рассказчика аңгемечинин сөзүн угуу;\n2. что, юр. кароо;\nслушать дело в суде ишти сотто кароо;\n3. что (проходить курс наук) угуу, өтүү;\nслушать лекции профессора профессордун лекцияларын угуу;\n4. кого-что (следовать указаниям) тил алуу, көнүү;\nон во всём слушал отца ал дайым атасынын тилин алчу;\nслушаю! (ответ по телефону) тыңшап жатам!, угуп жатам!;\nслушай! угуп тур!, кулак сал!;\nслушайте! угуп туруңуз!, угуп тургула!;\nслушай, будь смелее! ой, кайраттуу тур!
купать	несов. кого-что\nкиринтүү, сууга түшурүү, чомултуу (людей); сууга салуу, сууга куюндуруу (животных).
посахарить	сов. что, разг.\nкант себүү, канттоо.
жиличка	ж.\nсм. жилица.
невесёлый,	­ая, -ое\n1. (грустный) капа, кабагы жарык эмес;\n2. (неприятный) көңүлсүз, жадатма;\nневесёлое положение көңүлсүз абал.
осведомление	ср.\nкабар берүү, кабардар кылуу, кабардар кылып коюу, билдирүү, билдирип коюу, эскертип коюу.
чиститься	несов.\n1. тазалануу;\n2. страд. к чистить.
несметный,	­ая, -ое\nсан жеткис, сансыз, аябаган көп, абдан көп;\nнесметные богатства страны өлкөнүн сан жеткис байлыктары.
выдержать	сов.\n1. кого-что (устоять под тяжестью) чыдай алуу, чыдоо, көтөрүү, көтөрө алуу;\nэтот лёд выдержит пешеходов бул муз жөө өтүүчү кишилерди көтөрө алат;\n2. что (устоять перед испытанием; вытерпеть) чыдоо, чыдай алуу, туруштук берүү, жеңилбөө, жеңип чыгуу;\nвыдержать операцию операцияга чыдоо;\nон не выдержал и заплакал ал чыдай албай, ыйлап жиберди;\n3. что (оказаться годным к чему-л.) берүү, бере алуу, өтө алуу, өтүү;\nвыдержать экзамен экзамен бере алуу;\nсамолёт выдержал пробные испытания самолёт сыноодон өттү (өтө алды);\n4. что көпкө сактап күчүнө келтирүү;\nвыдержать вино викону көпкө сактап күчүнө келтирүү;\nвыдержать характер сабырдуу болуу, токтоо болуу, өзүн токтоо кармоо;\nвыдержать несколько изданий бир нече ирет басылып чыгуу (китеп жөнүндө).
биодинамика	ж.\nбиодинамика (организмдин жалпы тиричилик кылышы жөнүндөгү илим).
наболевший,	­ая, -ее\n1. прич. от наболеть;\n2. прил. перен. убактысы жеткен, чечилүүнү талап кылган, толгоосу жеткен;\nнаболевший вопрос толгоосу жеткен маселе.
холоднокровные	мн. (ед. холоднокровное ср.) зоол.\nсуук кандуу, салкын кандуу (денесинин температурасын айланадагы температурага жараша өзгөртө турган балык, амфибия жана башкалар сыяктуу жаныбарлар).
приникнуть	сов. к кому-чему\nкыналуу, жабышуу, коюлуу;\nприникнуть ухом к земле жерге кулагын коюп тыншоо.
чихать	несов.\nчүчкүрүү.
удмурты	мн.\nудмурттар (эл).
букс	м.\nбукс (Кавказда көп таралган жыгачтын бир түрү).
бисквитный,	­ая, -ое\nбисквит-ке т.;\nбисквитное пирожное бисквит пирожноеси.
колотушка	ж.\n1. (деревянный молоток) жыгач балка;\n2. разг. муштоо;\nнадавать колотушек муштап уруу;\n3. (у ночного сторожа) тункү кароолчулардын шакылдагы.
проспаться	сов. разг.\n1. (отоспаться) уйку кануу;\nя хорошо проспался после дороги жол жүрүп келгенден кийин мен жакшы уктадым;\n2. (протрезвиться) уктап соолугуу (мастыгы тарап).
широкодоступный,	­ая, -ое\nкөпчүлүк элге мүмкүн болгон, кеңири массага мүмкүн болгон.
полночь	ж.\nтүн ортосу, түн жарымы, жарым түн;\nоколо полуночи түн ортосуна жакын, түн жарымына жакын.
спрягаться	несов.\n1. грам. жакталуу;\n2. страд. к спрягать.
тонна	ж.\nтонна (метрикалык системада 1000 килограмм оордуктагы салмак).
нитроклетчатка	ж. хим.\nнитроклетчатка (азот кислоталары менен иштетилген клетчатка; мындан дүрт этме заттар, целлулоид жана башка нерселер иштелет).
вдаваться	несов.\nсм. вдаться;\nвдаваться в подробности майда-чүйдөсүнө чейин териштирүү;\nвдаваться в крайности ыгы жок чектен чыгып кетүү, чектен чыгуу.
кабачок	кабачок I\nм. уменьш. от кабак\nанчалык чоң эмес ресторан.\nкабачок II\nм. бот.\nкабакча (кичинекей сүйрү ашкабактын бир түрү).
зверолов	м.\nаңчы (капкан. ж.б. куралдар менен аң кармоочу).
преобразоваться	сов.\nкайта курулуу, башка түр алуу, башка түргө түшүү.
сейсмический,	­ая, -ое\nгеол.\nсейсмикалык (жер титирөөгө таандык);\nсейсмический прибор сейсмикалык аспап.
пенёк	м. уменьш. от пень\nдүмүрчө, кичине дүмүр.
хорошенько	нареч. разг.\n(как следует) жакшылап, абдан;\nя ещё и сам не знаю хорошенько мен өзүм да али жакшылап биле элекмин.
этак	разг.\n1. нареч. (так, вот как) мындай, мындайча, мына мындай, минтсек, андай, андай болсо;\nсделай этак мына мындай кыл;\nи так и этак мындай да, андай да; антсе да, минтсе да; мындайча да, андайча да;\nя думал так и этак мен ары да, бери да ойлодум; ары ойлодум, бери ойлодум;\n2. в знач. вводн. сл. (примерно, приблизительно) болжолу, божомол, -че болот;\nкилометров, этак, двести болжолу эки жүз километрче, эки жүз километрче болот.
замогильный,	­ая, -ое\nүлдүрөгөн;\nзамогильным голосом үлдүрөгөн үн менен.
поберечься	сов.\nсактануу, сак болуу, абайлоо.
перегретый,	­ая, -ое\n1. прич. от перегреть;\n2. прил. өтө кыздырылгак, өтө ысытылган;\n3. прил. тех. өтө кызыган, өтө ысыган;\nперегретый пар өтө ысыган буу.
эмбриология	ж.\nэмбриология (биологиянын бир бөлүгү; бул - айбандардын, аны менен катар кишинин да эмбриондорунун өрчүшүн изилдейт; см. эмбрион).
стеклорез	м.\n1. (рабочий) айнек кескич;\n2. (инструмент) айнек кескич.
непорядочность	ж.\nтүзүк эместик, жакшы эместик.
объесться	сов.\nкөп жеп жиберүү, ашыра жеп коюу;\nобъесться сладким таттууну көп жеп коюу.
освоение	ср.\nөздөштүрүү;\nосвоение целинных и залежных земель дың жана көптөн бери айдалбаган жерлерди өздөштүрүү;\nосвоение новой техники жаңы техниканы өздөштүрүү.
мордастый,	­ая, -ое\nпрост.\nормогой беттүү, тултук беттүү (адам).
липучка	ж. бот.\nкарыкыз.
петунья	ж. бот.\nпетунья (ири гүлдүү, бак өсүмдүктөрүнүн бир түрү).
снова	нареч.\nдагы, кайтадан, кайта дагы, кайтадан дагы, жаңыдан;\nснова пошёл дождь жамгыр кайта дагы жаай баштады;\nначать снова кайтадан баштоо;\nон снова с нами ал кайтадан биз менен.
негр	м.\nнегр.
контролёрский,	­ая, -ое\nконтролёр-го т.
пораздумать	сов. разг.\nойлонуп көрүү, ойлонушуу, ойлоно түшүү.
проковылять	сов. разг.\nаксап басуу, бутун сүйрөп басуу, сылтып басуу, илээлеп басуу.
нормировщик	м.\nнормалоочу (норма белгилөө жагынан специалист).
лисёнок	м. (мн. лисята)\nбачики (түлкү күчүгү).
отколачивать	несов.\nсм. отколотить 1.
муженёк	м. ласк. от муж 1.
двигать	несов.\n1. кого-что (перемещать) жылдыруу, ордунан козгоо;\nдвигать мебель мебелди жылдыруу;\n2. чем (шевелить) кыймылдатуу, кыбыратуу;\nдвигать пальцами бармактарын кыбыратуу;\n3. кого-что (направлять) баштоо, жиберүү, жөнөтүү;\nдвигать войска к побережью аскерди жээкти көздөй женөтүү;\n4. что, перен. (содействовать развитию) илгерилетүү;\nдвигать науку илимди илгерилетүү;\n5. что (приводить в движение) жүргүзүү;\nпружина движет часовой механизм пружина сааттын механизмин жүргүзөт;\n6. кем, перен. (побуждать) козгоо, көкүтүү.
мастерская	ж.\n1. (производственное помещение) мастерская (устакана);\nчасовая мастерская саат мастерскаясы;\nсапожная мастерская өтүк мастерскаясы;\n2. (часть цеха) мастерская (чоң фабрика же завод ишканасынын цехинин бөлүгү);\nинструментальная мастерская инструменттер мастерскаясы.
сжижаться	несов.\n1. см. сжидиться;\n2. страд. к сжижать.
досаждать	несов.\nсм. досадить.
эпидемиологический,	­ая, -ое\nэпидемиология-га т.; эпидемиологиялык;\nэпидемиологическая лаборатория эпидемиологиялык лаборатория.
набиться	сов. разг.\n1. жык толуу, шыкала чогулуу, жыйылуу;\nв комнату набилось много народу бөлмегө эл жык толду;\n2. (напроситься) өзү жабышуу, асылуу (мис. конокко барууга, таанышууга).
разостлаться	сов.\nкаптоо, төшөлүү;\nтуман разостлался по земле туман жер бетин каптады.
эфиопы	мн.\nэфиоптор.
скунс	м.\nскунс (1. териси кымбаттуу жаныбардын бир түрү; 2. ушул айбандын териси).
полнометражный,	­ая, -ое\nкино\nтолук метраждуу;\nполнометражный фильм толук метраждуу фильм.
спорый,	­ая, -ое\nийгиликтүү, кызуу;\nспорая работа ийгиликтүү иш, кызуу жүрүп жаткан иш.
вшестеро	нареч.\nалты эсе, алты жолу, алты мертебе, алты кабат.
рассылать	несов.\nсм. разослать.
подлость	ж.\nэки жүздүүлүк, митаамдык, кара санатайлык, шерменделик, жүзү каралык;\nсделать подлость шерменделик кылуу, эки жүздүүлүк (митаамдык) кылып кетүү.
усваивание	ср.\nсм. усвоение.
занижать	несов.\nсм. занизить.
ёрш	м.\n1. ёрш (балыктын бир түрү);\n2. (щётка) лампанын шишесин тазалагыч щётка.
пылинка	ж.\nчаңдын бир бүртүгү.
утильсырьё	ср.\nсм. утиль.
интерполировать	сов. и несов. что\nинтерполяциялоо, интерполяция кылуу.
восьмидесяти	род. и предл. п. от восемьдесят.
резон	м. разг.\nжуйө, жөн;\nв этом есть свой резон мунун өзүнчө бир жүйөсү (жөнү) бар.
тягучесть	ж.\n1. (способность растягиваться) чоюлуучулук, созулуучулук;\n2. (клейкость, густота) илээшчээктик;\n3. перен. (неторопливость, протяжность - напр. речи) созулмалуулук, чоюлуңкулук.
увеличиваться	несов.\n1. см. увеличиться;\n2. страд. к увеличивать.
опера	ж.\n1. опера;\nрусская классическая опера орустун классикалык операсы;\nтеатр оперы и балета опера жана балет театры;\n2. (оперный театр) опера театры;\nартист оперы опера театрынын артисти.
подружка	ж. уменьш.-ласк. от подруга\nтеңтуш, жолдош (аял, кыз).
пневматический,	­ая, -ое\nпневматикалык (шыкалма абанын жардамы менен аракетке келүүчү);\nпневматическое ружьё пневматикалык мылтык;\nпневматическая шина пневматикалык шина.
надписать	сов. что\n1. бетине жазуу, үстүнө жазуу;\nнадписать адрес на конверте конверттин бетине адрес жазуу;\n2. (снабдить своей надписью) колун коюу (мис. китептин четине).
определиться	сов.\n1. (стать ясным) аныкталуу, белгилүү болуу;\nцели определились максаттар аныкталды;\n2. (выяснить местонахождение) белгиленүү, табылуу;\nопределиться по компасу компастын жардамы менен белгилөө;\n3. уст. (поступить на работу) орношуу, коюлуу (кызматка).
фосфоресцировать	несов. физ.\nфосфоресценция билинүү (караңгыда өзүнөн өзү жарык чыгаруу, өзүнөн өзү жарык болуп туруу).
понизить	сов.\n1. что (уменьшить) төмөндөтүү, төмөн түшүрүү, ылдыйлатуу;\nпонизить температуру воздуха абанын температурасын төмөн түшүрүү;\nпонизить цены на все товары бардык товарлардын баасын төмөн түшүрүү;\n2. что (ухудшить, ослабить) начарлантуу, төмөндөтуп түп жиберүү;\nпонизить качество продукции продукциянын сапатын начарлантып жиберүү;\n3. что (приглушить) төмөндөтүү, басаңдатуу;\nпонизить голос үнүн басаңдатуу;\n4. кого (по должности) төмөндөтүү;\nпонизить по службе кызматынан төмендөтүп коюу.
ослепительность	ж.\n1. өтө жаркырактык, көздү уялткандык;\n2. перен. укмуштуулук, эң эле укмуштуулук (мис. эң сулуулук).
счёты	только мн.\nчот (эсеп чоту);\nсчитать на счётах чотко салып эсептөө.
полузащита	ж. спорт.\nжарым коргоо (футбол оюнунда);\nцентр полузащиты жарым коргоонун борбору.
ящик	м.\n1. ящик;\nпочтовый ящик почта ящиги;\nмусорный ящик таштанды салынуучу ящик;\n2. (выдвижной) тартма;\nящик письменного стола жазуу үстөлүнүн тартмасы;\nзарядный ящик воен. ок-дары ящиги;\nоткладывать что-л. в долгий ящик орундоону кечиктирүү, орундоону созуу, таштап коюу.
портниха	женск. р. к портной;\nкийим тигүүчү аял.
замориться	сов. разг.\nайласы кетүү, жабыгуу, биротоло жабыркоо.
папоротниковые	мн. (ед. папоротниковое ср.)\nпапоротник сыяктуулар.
спаржевый,	­ая, -ое\nспаржа-га т.
декламация	ж.\nдекламация, декламациялоо (көркөм окуу, көркөм окуу искусствосу).
вплоть	частица:\nвплоть до... ...чейин;\nвплоть до вечера кечке чейин.
целостный,	­ая, -ое\nбирдиктүү, бүтүн, жыйнак;\nцелостное мировоззрение дүйнөгө бирдиктүү көз караш (эки анжы болбостон; ыргылжынсыз).
пузо	ср. прост.\nкарын, курсак, ич;\nотрастить пузо курсагына май жыйноо, казы байлоо.
невежливый,	­ая, -ое\nадепсиз, орой, сылык эмес.
непреодолимый,	­ая, -ое\nжеңилгис, жеткис, колдон келгис, каршы тура алгыс;\nнепреодолимое препятствие жеңилгис кедерги.
бирманец	м.\nбирмалык.
защёлкнуться	сов.\nчык этип бекилүү.
полынь	ж. бот.\nэрмен, шыбак, шыраалжын.
распорядительность	ж.\nбашкаруучулук, тескей алуучулук;\nпроявить распорядительность башкаруучулугун көрсөтүү.
нивухи	мн.\nнивухтар;\nсм. нивхи.
приохотить	сов. кого к чему, разг.\nкызыктыруу, кынык алдыруу.
учащаяся	женск. р. к учащийся 3.
гидрометрический,	­ая, -ое\nгидрометрия-га т.; гидрометриялык;\nгидрометрическая станция гидрометриялык станция.
возместить	сов. что, чем\nтөлөө, төлөп берүү, ордун толтуруу, ордуна коюу;\nвозместить убытки чыгымды төлөө.
студенистый,	­ая, -ое\nкилкилдек.
измываться	несов. разг.\nкелекелөө, шылдың кылуу, маскаралоо, кордоо.
гидролиз	м. хим.\nгидролиз (химиялык жол менен туздарды сууга эритүү).
санаторий	м.\nсанаторий;\nпутёвка в санаторий санаторийге путёвка.
ишиас	м. мед.\nишиас (куян, көчүк нервинин оорусу).
створаживать	несов.\nсм. створожить.
обструкция	ж.\nобструкция (буржуазиялык коомдун шартында - бир заседаниени, айрыкча парламенттик заседаниени, ызы-чуу кылуу, керексиз, узакка созулган сөздөр сүйлөө жана башка жолдор менен атайлап бузуу);\nпарламентская обструкция парламенттик обструкция;\nустроить кому-л. обструкцию бирөөгө обструкция жасоо.
увольняться	несов.\n1. см. уволиться;\n2. страд. к увольнять.
безналичие	ср.\nбашсыздык, чаржайыт, ээн баштык.
млекопитающие	мн. (ед. млекопитающее ср.) зоол.\nсүт эмүүчүлөр (баласын сүт менен асыроочу жаныбарлар);\nхищные млекопитающие жырткыч сүт эмүүчү жаныбарлар;\nтравоядные млекопитающие чөп жей турган сүт эмүүчү жаныбарлар.
полумаска	ж.\nжарты маска (беттин жартысын гана жаап турган маска).
прыскаться	несов. разг.\nбүркүнүү, себинүү, куюнуу;\nпрыскаться духами атыр себинүү.
исправительно-трудовой,	­ая, -ое\nюр.\nтүзөтүү-эмгек.
авиабаза	ж.\nавиабаза (авиациялык бөлүктөрдү тейлөөчү аэродром, склад жана ремонттук мастерскаялар).
накипеть	сов.\n1. (напр. о пене на бульоне) иткелденүү;\n2. (об осадке в посуде) кебээрденүү (кайнатылуучу идиштердин ичи кирдөө);\n3. безл. перен. кыжыры кайноо;\nон высказал всё, что у него накипело ал ичинде сактап жүргөндөрүнүн баарын айтты.
гусиный,	­ая, -ое\nгусь-ка т.;\nгусиная кожа куш териси (мис. адамдын суукка бүдүрөйгөн териси);\nгусиные лапки көздүк кычыгындагы бырыш.
захватить	сов.\n1. кого-что (взять) алуу, ала кетүү;\nзахватить горсть орехов бир ууч жаңгак алуу;\nпоезд успел захватить всех пассажиров поезд бардык пассажирди алып кетүүгө үлгүрдү;\n2. кого-что (зацепить) кыстыра кетүү, кыпчый кетүү, орой кетүү;\nмашиной захватило край одежды машина кийимдин четин кыпчый кетти;\n3. кого-что (завладеть, завоевать) зордоп алуу, басып алуу, тартып алуу, колго түшүрүү;\nзахватить власть бийликти тартып алуу;\nзахватить чужую территорию бөлөк территорияны басып алуу;\nзахватить пленных туткундарды колго түшүрүү;\n4. кого-что, разг. (взять с собой) бирге алуу, ала жүрүү, ала кетүү, ала келүү, ала баруу;\nзахватить все деньги акчаны бүт ала кетүү;\nзахватить сына в театр уулун театрга ала баруу;\n5. кого, разг. (застать, застигнуть) үлгүрүү, кабылуу, үстүнөн чыгуу, кууп жетүү;\nзахватить на месте преступления кылмыш кылып жатканда үстүнөн чыгуу;\nзахватить врасплох күтпөгөн жерден үстүнөн басып калуу;\nзахватить дома кого-л. бирөөну үйүнөн табуу;\nдождь захватил нас в дороге биз жолдо жаанга калдык;\nя успел захватить последний поезд мен акыркы поездге үлгүрүп калдым;\n6. кого-что, перен. (увлечь) тартуу, делебени козгоо, ээликтирүү;\nмузыка захватила меня музыка менин делебемди козгоду;\nя захватил болезнь вовремя өз убагында оорунун алдын алдым;\nдух захватило или дыхание захватило дем чыкпай калды, деми чыкпай калды.
королёк	м.\nкоролёк (1. зоол. чымчыктын бир түрү; 2. бот. апельсиндин бир сорту).
застрелиться	сов.\nатынып өлүү.
верхний,	­яя, -ее\n1. (расположенный наверху) үстүңкү, өөдө жактагы, жогорку жактагы;\nверхний этаж дома үйдүн үстүңкү кабаты;\n2. (близкий к верховью реки) баш;\nверхнее течение реки дарыянын баш жагы;\n3. (надеваемый поверх чего-л.) тышкы, сырткы, сырт;\nверхнее платье тыш кийим;\n4. муз. ичке (үн);\nверхняя палата полит. жогорку палата.
замешкаться	сов. разг.\nбуйдалып калуу, кармалып калуу.
герань	ж.\nказ тамак (гүл).
аварец	м.\nавар, аварец.
причудливость	ж.\nкөрөсөндүүлүк, ойку-кайкылык, укмуштуулук.
лихость	ж. разг.\nчакчарылгандык, күжүрмөндүк, азаматтык.
внематочный,	­ая, -ое:\nвнематочная беременность мед. жатындан тышкары бойго бүтүү.
перегруппировываться	несов.\n1. см. перегруппироваться;\n2. страд. к перегруппировывать.
течение	ср.\n1. өтүү, жүрүү;\nтечение времени убакыттын өтүшү;\nтечение событий окуялардын жүрүшү;\nтечение дел иштин жүрүшү;\n2. (струя, ток) агым, агын, агыш;\nморские течения деңиз агымдары;\nбыстрое течение шар агын;\nвниз по течению реки суунун агынын бойлоп төмөн карай;\nвоздушное течение абанын агышы;\n3. перен. (направление) агым, багыт;\nполитические течения саясий агымдар;\nлитературное течение адабий агым, адабий багыт;\nплыть по течению агымга карай кете берүү;\nв течение ичинде;\nв течение года жылдын ичинде;\nс течением времени убакыттын өтүшү менен.
щекотание	ср.\nкытыгылоо.
выпучивать	несов.\nсм. выпучить.
промоина	ж.\nсуу жеген чуңкур, аң, суу казган чуңкур.
долгоносик	м. зоол.\nшиш тумшук (дыйканчылык өсүмдүктөрунө зыян келтирүүчү, узун тумшук зыянкеч коңуз).
цензурный,	­ая, -ое\n1. цензура-га т.;\n2. перен. (приличный) адептүү, уят эмес.
переподготавливать	несов.\nсм. переподготовить.
темя	ср. анат.\nчоку, чоку сөөк; эмгек (детское).
расчихаться	сов. разг.\nулам-улам чүчкүрө баштоо.
критичность	ж.\nбир нерсеге сын көзү менен кароо ийкемдиги.
купе	ср. нескл.\nкупе (вагондун пассажирлерге арналган бөлмөсү).
литосфера	ж. геол.\nлитосфера (жер шарынын катуу, таштуу катмары, кабы).
отговариваться	несов.\nсм. отговориться.
подъездной,	­ая, -ое:\nподъездные пути ж.-д. чоң жолго кошулуучу жол тармактары.
усобица	ж. ист.\nөз ара ырксыздык, өз ара согуш.
стыть	несов.\nсм. стынуть.
слаженный,	­ая, -ое\n1. прич. от сладить 1;\n2. прил. эп келтирилген, орду-ордуна коюлган, уюшкан, жакшы түзүлгөн, жөнгө салынган.
торпедный,	­ая, -ое\nторпеда-га т.; торпедалык;\nторпедный аппарат торпедалык аппарат.
протеже	м. и ж. нескл.\nколдоочусу, таянычы бар киши (мис. бир кызматка турууда колдоочусу бар киши).
референт	м.\nреферент (1. берилген темабоюнча доклад жасай турган адам; 2. белгилүү бир маселе жөнүндө консультация берүүчү, доклад кылуучу кызматчы).
лаванда	ж. бот.\nлаванда (гүлүнөн жыттуу, жыпар май чыгарылуучу бадал өсүмдүктүн бир түрү).
